122,Victor,Vv,Math,Undergraduate,J1838
123,Wes,Ww,Biology,Graduate,V9454
124,Xena,Xx,Computer Science,Undergraduate,G1745
125,Yas,Yy,Biology,Undergraduate,P9020
126,Zack,Zz,Math,Graduate,B1967
101,Andrew,Aa,Computer Science,Graduate,B5695
102,Brian,Bb,Math,Graduate,J5276
103,Charlie,Cc,Computer Science,Graduate,G7873
104,Dan,Dd,Math,Graduate,E2027
105,Erik,Ee,Math,Undergraduate,Y6358
106,Frank,Ff,Computer Science,Undergraduate,C5265
107,Greg,Gg,Computer Science,Undergraduate,K5232
108,Hillary,Hh,Computer Science,Graduate,I8493
109,India,Ii,Biology,Graduate,X8823
110,Jon,Jj,Biology,Graduate,X8378
111,Kevin,Kk,Biology,Undergraduate,C8339
112,Leo,Ll,Computer Science,Graduate,F1190
113,Mike,Mm,Computer Science,Undergraduate,N3638
114,Nick,Nn,Biology,Graduate,S4597
115,Oscar,Oo,Biology,Undergraduate,X7306
116,Pam,Pp,Computer Science,Undergraduate,P2565
117,Queen,Qq,Biology,Undergraduate,V3788
118,Rick,Rr,Computer Science,Undergraduate,R2391
119,Stan,Ss,Biology,Undergraduate,C3857
120,Tim,Tt,Biology,Graduate,V1613
121,Uma,Uu,Biology,Undergraduate,O9897
122,Victor,Vv,Math,Undergraduate,W2730
123,Wes,Ww,Biology,Graduate,H7569
124,Xena,Xx,Computer Science,Undergraduate,J897
125,Yas,Yy,Biology,Undergraduate,Y2493
126,Zack,Zz,Math,Graduate,G8685
101,Andrew,Aa,Computer Science,Graduate,L8590
102,Brian,Bb,Math,Graduate,Z8845
103,Charlie,Cc,Computer Science,Graduate,C8309
104,Dan,Dd,Math,Graduate,B9318
105,Erik,Ee,Math,Undergraduate,A5789
106,Frank,Ff,Computer Science,Undergraduate,R8273
107,Greg,Gg,Computer Science,Undergraduate,A5314
108,Hillary,Hh,Computer Science,Graduate,S9843
109,India,Ii,Biology,Graduate,B2020
110,Jon,Jj,Biology,Graduate,U9399
111,Kevin,Kk,Biology,Undergraduate,C8703
112,Leo,Ll,Computer Science,Graduate,F2550
113,Mike,Mm,Computer Science,Undergraduate,D454
114,Nick,Nn,Biology,Graduate,Z7815
115,Oscar,Oo,Biology,Undergraduate,C6065
116,Pam,Pp,Computer Science,Undergraduate,F2685
117,Queen,Qq,Biology,Undergraduate,K7951
118,Rick,Rr,Computer Science,Undergraduate,W7936
119,Stan,Ss,Biology,Undergraduate,O8783
120,Tim,Tt,Biology,Graduate,H2928
121,Uma,Uu,Biology,Undergraduate,T1285
122,Victor,Vv,Math,Undergraduate,H8339
123,Wes,Ww,Biology,Graduate,E4945
124,Xena,Xx,Computer Science,Undergraduate,L5973
125,Yas,Yy,Biology,Undergraduate,H9607
126,Zack,Zz,Math,Graduate,Q863
101,Andrew,Aa,Computer Science,Graduate,E2424
102,Brian,Bb,Math,Graduate,A4929
103,Charlie,Cc,Computer Science,Graduate,Y6611
104,Dan,Dd,Math,Graduate,O2603
105,Erik,Ee,Math,Undergraduate,U1379
106,Frank,Ff,Computer Science,Undergraduate,B8144
107,Greg,Gg,Computer Science,Undergraduate,J6095
108,Hillary,Hh,Computer Science,Graduate,J2628
109,India,Ii,Biology,Graduate,I3011
110,Jon,Jj,Biology,Graduate,T3788
111,Kevin,Kk,Biology,Undergraduate,I8198
112,Leo,Ll,Computer Science,Graduate,V6829
113,Mike,Mm,Computer Science,Undergraduate,K2967
114,Nick,Nn,Biology,Graduate,R5473
115,Oscar,Oo,Biology,Undergraduate,Q6259
116,Pam,Pp,Computer Science,Undergraduate,O8010
117,Queen,Qq,Biology,Undergraduate,V4159
118,Rick,Rr,Computer Science,Undergraduate,S9921
119,Stan,Ss,Biology,Undergraduate,A2973
120,Tim,Tt,Biology,Graduate,G6980
121,Uma,Uu,Biology,Undergraduate,I6984
122,Victor,Vv,Math,Undergraduate,N5407
123,Wes,Ww,Biology,Graduate,V9536
124,Xena,Xx,Computer Science,Undergraduate,A8374
125,Yas,Yy,Biology,Undergraduate,F625
126,Zack,Zz,Math,Graduate,N1937
101,Andrew,Aa,Computer Science,Graduate,L4810
102,Brian,Bb,Math,Graduate,Y7823
103,Charlie,Cc,Computer Science,Graduate,M9130
104,Dan,Dd,Math,Graduate,W8812
105,Erik,Ee,Math,Undergraduate,D724
106,Frank,Ff,Computer Science,Undergraduate,Y8255
107,Greg,Gg,Computer Science,Undergraduate,X5012
108,Hillary,Hh,Computer Science,Graduate,J8414
109,India,Ii,Biology,Graduate,P6341
110,Jon,Jj,Biology,Graduate,E6070
111,Kevin,Kk,Biology,Undergraduate,E7059
112,Leo,Ll,Computer Science,Graduate,R755
113,Mike,Mm,Computer Science,Undergraduate,I3293
114,Nick,Nn,Biology,Graduate,S872
115,Oscar,Oo,Biology,Undergraduate,Z3436
116,Pam,Pp,Computer Science,Undergraduate,Z8377
117,Queen,Qq,Biology,Undergraduate,Z7160
118,Rick,Rr,Computer Science,Undergraduate,I3939
119,Stan,Ss,Biology,Undergraduate,Z4091
120,Tim,Tt,Biology,Graduate,C7640
121,Uma,Uu,Biology,Undergraduate,C5950
122,Victor,Vv,Math,Undergraduate,U2803
123,Wes,Ww,Biology,Graduate,Z8384
124,Xena,Xx,Computer Science,Undergraduate,T8746
125,Yas,Yy,Biology,Undergraduate,M627
126,Zack,Zz,Math,Graduate,A6348
101,Andrew,Aa,Computer Science,Graduate,S3944
102,Brian,Bb,Math,Graduate,F6343
103,Charlie,Cc,Computer Science,Graduate,T4552
104,Dan,Dd,Math,Graduate,J2463
105,Erik,Ee,Math,Undergraduate,R2086
106,Frank,Ff,Computer Science,Undergraduate,E4139
107,Greg,Gg,Computer Science,Undergraduate,Z2509
108,Hillary,Hh,Computer Science,Graduate,P1407
109,India,Ii,Biology,Graduate,C4299
110,Jon,Jj,Biology,Graduate,N936
111,Kevin,Kk,Biology,Undergraduate,T691
112,Leo,Ll,Computer Science,Graduate,C9734
113,Mike,Mm,Computer Science,Undergraduate,B9037
114,Nick,Nn,Biology,Graduate,G408
115,Oscar,Oo,Biology,Undergraduate,W2725
116,Pam,Pp,Computer Science,Undergraduate,P9509
117,Queen,Qq,Biology,Undergraduate,V6045
118,Rick,Rr,Computer Science,Undergraduate,D9661
119,Stan,Ss,Biology,Undergraduate,C3110
120,Tim,Tt,Biology,Graduate,R3941
121,Uma,Uu,Biology,Undergraduate,I4251
122,Victor,Vv,Math,Undergraduate,Y5534
123,Wes,Ww,Biology,Graduate,H8213
124,Xena,Xx,Computer Science,Undergraduate,J4461
125,Yas,Yy,Biology,Undergraduate,K8212
126,Zack,Zz,Math,Graduate,F9719
101,Andrew,Aa,Computer Science,Graduate,P3831
102,Brian,Bb,Math,Graduate,P6786
103,Charlie,Cc,Computer Science,Graduate,T3056
104,Dan,Dd,Math,Graduate,U9837
105,Erik,Ee,Math,Undergraduate,M1834
106,Frank,Ff,Computer Science,Undergraduate,V4736
107,Greg,Gg,Computer Science,Undergraduate,O978
108,Hillary,Hh,Computer Science,Graduate,V1093
109,India,Ii,Biology,Graduate,Q8396
110,Jon,Jj,Biology,Graduate,M933
111,Kevin,Kk,Biology,Undergraduate,Y2078
112,Leo,Ll,Computer Science,Graduate,J7264
113,Mike,Mm,Computer Science,Undergraduate,C6714
114,Nick,Nn,Biology,Graduate,D9592
115,Oscar,Oo,Biology,Undergraduate,G3808
116,Pam,Pp,Computer Science,Undergraduate,G865
117,Queen,Qq,Biology,Undergraduate,T1113
118,Rick,Rr,Computer Science,Undergraduate,Q5483
119,Stan,Ss,Biology,Undergraduate,G4832
120,Tim,Tt,Biology,Graduate,M684
121,Uma,Uu,Biology,Undergraduate,S4968
122,Victor,Vv,Math,Undergraduate,M7678
123,Wes,Ww,Biology,Graduate,X4997
124,Xena,Xx,Computer Science,Undergraduate,J8652
125,Yas,Yy,Biology,Undergraduate,Y5611
126,Zack,Zz,Math,Graduate,L9603
101,Andrew,Aa,Computer Science,Graduate,R6738
102,Brian,Bb,Math,Graduate,J8999
103,Charlie,Cc,Computer Science,Graduate,C734
104,Dan,Dd,Math,Graduate,J2509
105,Erik,Ee,Math,Undergraduate,S7124
106,Frank,Ff,Computer Science,Undergraduate,P6109
107,Greg,Gg,Computer Science,Undergraduate,Y1168
108,Hillary,Hh,Computer Science,Graduate,R7638
109,India,Ii,Biology,Graduate,Y1490
110,Jon,Jj,Biology,Graduate,P8113
111,Kevin,Kk,Biology,Undergraduate,F7327
112,Leo,Ll,Computer Science,Graduate,Y5715
113,Mike,Mm,Computer Science,Undergraduate,U8845
114,Nick,Nn,Biology,Graduate,C5955
115,Oscar,Oo,Biology,Undergraduate,H2966
116,Pam,Pp,Computer Science,Undergraduate,T9336
117,Queen,Qq,Biology,Undergraduate,B5468
118,Rick,Rr,Computer Science,Undergraduate,Q3647
119,Stan,Ss,Biology,Undergraduate,X3737
120,Tim,Tt,Biology,Graduate,D5706
121,Uma,Uu,Biology,Undergraduate,X8028
122,Victor,Vv,Math,Undergraduate,E8087
123,Wes,Ww,Biology,Graduate,U3782
124,Xena,Xx,Computer Science,Undergraduate,W2664
125,Yas,Yy,Biology,Undergraduate,I6821
126,Zack,Zz,Math,Graduate,T4395
101,Andrew,Aa,Computer Science,Graduate,Z2136
102,Brian,Bb,Math,Graduate,X4568
103,Charlie,Cc,Computer Science,Graduate,J8955
104,Dan,Dd,Math,Graduate,G5548
105,Erik,Ee,Math,Undergraduate,B8450
106,Frank,Ff,Computer Science,Undergraduate,C2482
107,Greg,Gg,Computer Science,Undergraduate,W2187
108,Hillary,Hh,Computer Science,Graduate,L2314
109,India,Ii,Biology,Graduate,O5410
110,Jon,Jj,Biology,Graduate,G8735
111,Kevin,Kk,Biology,Undergraduate,R4911
112,Leo,Ll,Computer Science,Graduate,N159
113,Mike,Mm,Computer Science,Undergraduate,M1342
114,Nick,Nn,Biology,Graduate,G7536
115,Oscar,Oo,Biology,Undergraduate,Z6225
116,Pam,Pp,Computer Science,Undergraduate,R2607
117,Queen,Qq,Biology,Undergraduate,S5511
118,Rick,Rr,Computer Science,Undergraduate,I1066
119,Stan,Ss,Biology,Undergraduate,X8984
120,Tim,Tt,Biology,Graduate,I8930
121,Uma,Uu,Biology,Undergraduate,Z6485
122,Victor,Vv,Math,Undergraduate,R9163
123,Wes,Ww,Biology,Graduate,K6015
124,Xena,Xx,Computer Science,Undergraduate,V7130
125,Yas,Yy,Biology,Undergraduate,E8765
126,Zack,Zz,Math,Graduate,F8150
